date,1. open,2. high,3. low,4. close,5. volume
2020-02-28,18.35,19.13,18.03,19.04,40580307.0
2020-02-27,21.38,21.45,19.68,19.78,28267596.0
2020-02-26,21.0,21.38,20.89,21.09,18550120.0
2020-02-25,21.7,22.08,21.24,21.25,26490009.0
2020-02-24,22.5,22.57,21.73,22.03,29161223.0
2020-02-21,21.45,21.6066,21.17,21.44,19949160.0
2020-02-20,20.94,21.31,20.715,20.77,16588307.0
2020-02-19,20.81,21.04,20.4,21.0,20175464.0
2020-02-18,19.85,20.65,19.745,20.58,27961883.0
2020-02-14,19.0,19.73,18.93,19.72,20173717.0
2020-02-13,18.58,19.17,18.5531,18.93,15263360.0
2020-02-12,18.51,18.68,18.2,18.41,11827238.0
2020-02-11,18.37,18.64,18.26,18.44,10378520.0
2020-02-10,18.26,18.52,18.1598,18.43,8164851.0
2020-02-07,18.45,18.56,18.08,18.19,8731445.0
2020-02-06,18.12,18.49,18.05,18.35,7471275.0
2020-02-05,18.0,18.17,17.96,18.02,7386153.0
2020-02-04,18.01,18.15,17.63,18.02,15578565.0
2020-02-03,18.37,18.45,18.09,18.28,11758482.0
2020-01-31,18.48,18.74,18.42,18.52,10999500.0
2020-01-30,18.42,18.65,18.2505,18.44,13837641.0
2020-01-29,18.09,18.4,17.93,18.37,8479499.0
2020-01-28,18.4,18.5,17.85,18.0,16122601.0
2020-01-27,19.0,19.17,18.45,18.62,21288125.0
2020-01-24,18.45,18.75,18.35,18.71,14745479.0
2020-01-23,18.21,18.68,18.18,18.43,13180989.0
2020-01-22,18.34,18.4,18.165,18.29,10563016.0
2020-01-21,17.96,18.35,17.93,18.35,14613529.0
2020-01-17,18.13,18.21,17.76,17.95,9787914.0
2020-01-16,18.0,18.1,17.74,18.09,10175692.0
2020-01-15,17.75,17.98,17.56,17.9,10443572.0
2020-01-14,17.3,17.6,17.26,17.56,10064380.0
2020-01-13,17.77,17.7834,17.43,17.45,8410207.0
2020-01-10,17.67,17.96,17.6,17.85,8361621.0
2020-01-09,17.62,17.8,17.4565,17.6,11537786.0
2020-01-08,18.51,18.51,17.71,17.82,14582169.0
2020-01-07,18.39,18.53,18.13,18.47,12086768.0
2020-01-06,18.98,19.01,18.37,18.39,14284872.0
2020-01-03,18.93,18.96,18.43,18.57,13759255.0
2020-01-02,18.71,18.805,18.37,18.49,7096791.0
2019-12-31,18.74,18.83,18.5,18.59,9210917.0
2019-12-30,18.41,18.675,18.33,18.61,9560855.0
2019-12-27,18.32,18.48,18.18,18.37,9046972.0
2019-12-26,18.5,18.56,18.2,18.36,9372315.0
2019-12-24,17.8,18.32,17.76,18.31,8173957.0
2019-12-23,17.58,17.82,17.48,17.76,8634134.0
2019-12-20,17.65,17.78,17.41,17.45,9077094.0
2019-12-19,17.93,18.0,17.55,17.71,8379145.0
2019-12-18,17.49,17.94,17.41,17.93,15938770.0
2019-12-17,17.35,17.52,17.29,17.39,9721281.0
2019-12-16,17.68,17.68,17.24,17.42,7813373.0
2019-12-13,17.45,17.67,17.32,17.58,10721155.0
2019-12-12,17.8,17.98,17.34,17.56,12192581.0
2019-12-11,17.28,17.78,17.24,17.62,14547774.0
2019-12-10,16.95,17.17,16.92,17.14,12644461.0
2019-12-09,17.0,17.2,16.785,16.85,8946570.0
2019-12-06,16.89,17.11,16.82,16.89,8180540.0
2019-12-05,17.12,17.3113,17.05,17.16,8687459.0
2019-12-04,17.25,17.38,17.01,17.03,10130988.0
2019-12-03,17.28,17.79,17.19,17.28,16962148.0
2019-12-02,16.76,17.02,16.73,16.89,11605341.0
2019-11-29,16.77,16.86,16.64,16.8,5515894.0
